sex,age,p_fte,p_no_fte,p_half_fte
M,30,0.3619565217391304,0.13478260869565217,0.5032608695652174
M,31,0.37173913043478257,0.1423913043478261,0.48586956521739133
M,32,0.37608695652173907,0.1423913043478261,0.48152173913043483
M,33,0.3804347826086957,0.1423913043478261,0.4771739130434782
M,34,0.3847826086956522,0.14673913043478262,0.46847826086956523
M,35,0.3880434782608696,0.15,0.4619565217391304
M,36,0.3880434782608696,0.15217391304347827,0.45978260869565213
M,37,0.3978260869565218,0.15543478260869564,0.4467391304347825
M,38,0.40326086956521734,0.1565217391304348,0.4402173913043479
M,39,0.4043478260869565,0.1565217391304348,0.4391304347826087
M,40,0.408695652,0.15760869565217392,0.43369565234782603
M,41,0.4130434782608695,0.15869565217391304,0.4282608695652175
M,42,0.4141304347826087,0.15978260869565217,0.4260869565217391
M,43,0.41521739130434787,0.16195652173913044,0.4228260869565217
M,44,0.41630434782608694,0.16195652173913044,0.4217391304347826
M,45,0.41956521739130437,0.16195652173913044,0.4184782608695652
M,46,0.4184782608695652,0.16630434782608697,0.41521739130434787
M,47,0.4184782608695652,0.1641304347826087,0.4173913043478261
M,48,0.42065217391304344,0.16521739130434782,0.4141304347826087
M,49,0.41956521739130437,0.16521739130434782,0.41521739130434776
M,50,0.4184782608695652,0.1641304347826087,0.4173913043478261
M,51,0.41521739130434787,0.16195652173913044,0.4228260869565217
M,52,0.41630434782608694,0.16304347826086957,0.42065217391304355
M,53,0.4130434782608695,0.16086956521739132,0.4260869565217391
M,54,0.41195652173913044,0.16086956521739132,0.4271739130434782
M,55,0.40760869600000005,0.15869565217391304,0.43369565182608694
M,56,0.4043478260869565,0.15760869565217392,0.43804347826086953
M,57,0.40326086956521734,0.1565217391304348,0.4402173913043479
M,58,0.39891304347826084,0.15434782608695652,0.44673913043478264
M,59,0.39347826086956517,0.15217391304347827,0.45434782608695656
M,60,0.38913043478260867,0.15,0.4608695652173913
M,61,0.3804347826086957,0.14891304347826087,0.4706521739130435
M,62,0.3739130434782608,0.14565217391304347,0.48043478260869565
M,63,0.36847826086956526,0.1423913043478261,0.48913043478260865
M,64,0.36847826086956526,0.1391304347826087,0.4923913043478261
M,65,0.3565217391304347,0.1358695652173913,0.5076086956521739
M,66,0.3521739130434782,0.13152173913043477,0.516304347826087
M,67,0.3445652173913043,0.12717391304347828,0.5282608695652175
M,68,0.33369565217391306,0.12608695652173912,0.5402173913043478
M,69,0.33369565217391306,0.12282608695652174,0.5434782608695652
M,70,0.32608695652173914,0.11630434782608695,0.557608695652174
M,71,0.31630434799999996,0.10978260869565218,0.5739130433043479
M,72,0.30326086956521736,0.10869565217391304,0.5880434782608697
M,73,0.30326086956521736,0.10326086956521739,0.5934782608695652
M,74,0.29021739130434787,0.09673913,0.6130434786956521
M,75,0.2804347826086957,0.095652174,0.6239130433913043
M,76,0.2663043478260869,0.092391304,0.6413043481739131
M,77,0.2543478260869565,0.085869565,0.6597826089130435
M,78,0.24347826086956526,0.080434783,0.6760869561304348
M,79,0.24347826086956526,0.07173913,0.6847826091304348
M,80,0.23152173913043472,0.068478261,0.6999999998695653
M,81,0.23152173913043472,0.061956522,0.7065217388695653
M,82,0.20760869565217388,0.051086956521739134,0.741304347826087
M,83,0.18913043478260871,0.044565217,0.7663043482173912
M,84,0.17826086956521736,0.038043478,0.7836956524347827
M,85,0.1684782608695652,0.031521739,0.8000000001304348
F,30,0.34990439770554493,0.21669849519747847,0.43339710709697665
F,31,0.364244742,0.20076481835564053,0.43499043964435946
F,32,0.3722116386457338,0.17527091206829587,0.45251744928597026
F,33,0.3769917533684871,0.14977688907893164,0.4732313575525813
F,34,0.37858508599999996,0.14181010900902247,0.4796048049909776
F,35,0.3833652007648184,0.1147227533460803,0.5019120458891013
F,36,0.38655198281399383,0.10356919122699569,0.5098788259590105
F,37,0.39133209753674714,0.09082218,0.5178457224632529
F,38,0.39133209753674714,0.08126195,0.5274059524632528
F,39,0.39611221225950055,0.070108388,0.5337793997404995
F,40,0.3977055449330784,0.065328273,0.5369661820669216
F,41,0.3977055449330784,0.04939448,0.5528999750669216
F,42,0.3992988776066563,0.043021032504780114,0.5576800898885637
F,43,0.3992988776066563,0.03983425,0.5608668723933437
F,44,0.394518763,0.036647585,0.568833652
F,45,0.39611221225950055,0.030274021,0.5736137667404995
F,46,0.3977055449330784,0.028680688336520075,0.5736137667304015
F,47,0.3929254302103251,0.030274021,0.5768005487896749
F,48,0.394518763,0.030274021,0.575207216
F,49,0.39133209753674714,0.031867470385695505,0.5768004320775574
F,50,0.38655198281399383,0.036647585,0.5768004321860062
F,51,0.3833652007648184,0.038240918,0.5783938812351817
F,52,0.38017841900000005,0.046207815,0.573613766
F,53,0.3738049713193117,0.057361377,0.5688336516806883
F,54,0.364244742,0.068514939,0.5672403189999999
F,55,0.35946462715105165,0.071701721,0.5688336518489483
F,56,0.3467176156563695,0.084448732,0.5688336523436305
F,57,0.3403441682600382,0.10038240917782026,0.5592734225621415
F,58,0.333970721,0.11312942067250238,0.5528998583274976
F,59,0.32441049141820033,0.13065643018791825,0.5449330783938814
F,60,0.31803698567085925,0.1465902237317758,0.535372790597365
F,61,0.30210325047801145,0.1673040152963671,0.5305927342256215
